id,business,balance,behaviours,nationality,bank_id,avg_tx_per_step,min_amount,max_amount,new_beneficiary_ratio,new_neighbours_ratio,compromising_ratio,role
0,1,3309.75,"[0, 1, 2, 3, 4, 5, 6, 7]",,1,0.8,106.09,286.85,0.10071017837757988,0.48006724559377395,0.10266430599028539,0
1,1,3869.89,"[0, 1, 2, 3, 4, 5, 6, 7]",,0,0.8,102.63,240.75,0.10241144938094061,0.5029093988168349,0.10787009926903714,-1
2,1,3883.63,"[0, 1, 2, 3, 4, 5, 6, 7]",,2,0.8,91.03,367.98,0.09856019438840515,0.5032726782463458,0.08436175640028401,-1
3,1,3700.15,"[0, 1, 2, 3, 4, 5, 6, 7]",,0,0.8,146.7,310.86,0.10118078256391665,0.5084916443692592,0.09604064888547761,-1
4,1,3691.73,"[0, 1, 2, 3, 4, 5, 6, 7]",,0,0.8,88.79,268.63,0.10185460128812156,0.5703353141186179,0.06663038356714861,-1
5,1,2564.03,"[0, 1, 2, 3, 4, 5, 6, 7]",,0,0.8,98.61,398.17,0.09839772644373104,0.4437928137355401,0.08505264079944932,-1
6,1,3342.44,"[0, 1, 2, 3, 4, 5, 6, 7]",,1,0.8,111.91,345.28,0.09850341972804913,0.5204524120574301,0.138270600863086,-1
7,1,3420.72,"[0, 1, 2, 3, 4, 5, 6, 7]",,2,0.8,110.22,252.62,0.09997951179016772,0.5202624385343153,0.05905170370218717,-1
8,1,3356.34,"[0, 1, 2, 3, 4, 5, 6, 7]",,1,0.8,95.27,321.58,0.0978717340960025,0.5552121518297746,0.05831065314448072,-1
9,1,2724.47,"[0, 1, 2, 3, 4, 5, 6, 7]",,1,0.8,79.0,394.15,0.09810520763287826,0.4633545836849885,0.11786863159830223,-1
10,1,3998.3,"[0, 1, 2, 3, 4, 5, 6, 7]",,2,0.8,102.12,316.54,0.10056970285476771,0.47946445934430054,0.11816408120188789,-1
11,1,2726.65,"[0, 1, 2, 3, 4, 5, 6, 7]",,2,0.8,102.93,224.4,0.10149845768819145,0.5258247763427044,0.132972857453446,-1
12,1,2788.67,"[0, 1, 2, 3, 4, 5, 6, 7]",,0,0.8,87.01,317.12,0.09758461951832592,0.4601215924612229,0.07253545632336371,-1
13,1,2896.81,"[0, 1, 2, 3, 4, 5, 6, 7]",,2,0.8,121.74,202.74,0.09963311085793318,0.5693526759907461,0.0921527918332533,-1
14,1,2042.08,"[0, 1, 2, 3, 4, 5, 6, 7]",,2,0.8,112.35,280.77,0.09809030994870187,0.46877909543392204,0.05184826997134916,-1
15,1,2524.34,"[0, 1, 2, 3, 4, 5, 6, 7]",,2,0.8,109.05,331.7,0.10266639524097818,0.48730142944406685,0.10727637748452991,-1
16,1,3454.66,"[0, 1, 2, 3, 4, 5, 6, 7]",,0,0.8,132.93,354.56,0.09439452097931787,0.4321027365421035,0.0504294758969783,-1
